Serie;Canal de emisión;Tipo de serie;Día de emisión;País;Duración;Estado;Resumen de la serie;Número del capitulo;Fecha de emisión;Resumen del capitulo
Doctor Who 1963;BBC One;Science Fiction;Saturday, 6:00pm;United Kingdom;30 Minutes;Canceled/Ended;Doctor Who is the longest-running science fiction TV series in history, airing initially from 1963 to 1989. Doctor Who is about ideas. It pioneered sophisticated mixed-level storytelling. Its format was the key to its longevity: the Doctor, a mysterious traveller in space and time, travels in his ship, the TARDIS. The TARDIS can take him and his companions anywhere in time and space. Inevitably he finds evil at work wherever he goes... ;s18e17;3-1-1981;Nowhere, literally - the Zero Point between the positive and negative universes. The TARDIS materialises in a white void, but the travellers are not alone. A stone gateway, filled with ageing warrior robots and a very strange hall of mirrors, is also in the void. As is a slaver ship filled with the time-riding Tharils, and captained by the increasingly unstable Rorvik...
Doctor Who 1963;BBC One;Science Fiction;Saturday, 6:00pm;United Kingdom;30 Minutes;Canceled/Ended;Doctor Who is the longest-running science fiction TV series in history, airing initially from 1963 to 1989. Doctor Who is about ideas. It pioneered sophisticated mixed-level storytelling. Its format was the key to its longevity: the Doctor, a mysterious traveller in space and time, travels in his ship, the TARDIS. The TARDIS can take him and his companions anywhere in time and space. Inevitably he finds evil at work wherever he goes... ;s18e18;10-1-1981;Nowhere, literally - the Zero Point between the positive and negative universes. The TARDIS materialises in a white void, but the travellers are not alone. A stone gateway, filled with ageing warrior robots and a very strange hall of mirrors, is also in the void. As is a slaver ship filled with the time-riding Tharils, and captained by the increasingly unstable Rorvik...
Doctor Who 1963;BBC One;Science Fiction;Saturday, 6:00pm;United Kingdom;30 Minutes;Canceled/Ended;Doctor Who is the longest-running science fiction TV series in history, airing initially from 1963 to 1989. Doctor Who is about ideas. It pioneered sophisticated mixed-level storytelling. Its format was the key to its longevity: the Doctor, a mysterious traveller in space and time, travels in his ship, the TARDIS. The TARDIS can take him and his companions anywhere in time and space. Inevitably he finds evil at work wherever he goes... ;s18e19;17-1-1981;Nowhere, literally - the Zero Point between the positive and negative universes. The TARDIS materialises in a white void, but the travellers are not alone. A stone gateway, filled with ageing warrior robots and a very strange hall of mirrors, is also in the void. As is a slaver ship filled with the time-riding Tharils, and captained by the increasingly unstable Rorvik...
Doctor Who 1963;BBC One;Science Fiction;Saturday, 6:00pm;United Kingdom;30 Minutes;Canceled/Ended;Doctor Who is the longest-running science fiction TV series in history, airing initially from 1963 to 1989. Doctor Who is about ideas. It pioneered sophisticated mixed-level storytelling. Its format was the key to its longevity: the Doctor, a mysterious traveller in space and time, travels in his ship, the TARDIS. The TARDIS can take him and his companions anywhere in time and space. Inevitably he finds evil at work wherever he goes... ;s18e20;24-1-1981;Nowhere, literally - the Zero Point between the positive and negative universes. The TARDIS materialises in a white void, but the travellers are not alone. A stone gateway, filled with ageing warrior robots and a very strange hall of mirrors, is also in the void. As is a slaver ship filled with the time-riding Tharils, and captained by the increasingly unstable Rorvik...
Doctor Who 1963;BBC One;Science Fiction;Saturday, 6:00pm;United Kingdom;30 Minutes;Canceled/Ended;Doctor Who is the longest-running science fiction TV series in history, airing initially from 1963 to 1989. Doctor Who is about ideas. It pioneered sophisticated mixed-level storytelling. Its format was the key to its longevity: the Doctor, a mysterious traveller in space and time, travels in his ship, the TARDIS. The TARDIS can take him and his companions anywhere in time and space. Inevitably he finds evil at work wherever he goes... ;s18e21;31-1-1981;The planet Traken. The Traken union is a society living in perfect harmony, watched over by the powerful but benign Keeper. But now the Keeper is dying, and he senses a great evil within his protectorate. Can the Doctor help him discover the secret of the Melkur?
MASH;CBS;Comedy;Thursday, 8:00pm;United States;30 Minutes;Canceled/Ended;The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.;s09e07;6-1-1981;Klinger is so depressed by news that his ex-wife plans to remarry, he reenlists for an additional six-year hitch. Meanwhile, a male nurse has a gripe against the army.
MASH;CBS;Comedy;Thursday, 8:00pm;United States;30 Minutes;Canceled/Ended;The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.;s09e08;13-1-1981;"Winchester takes command during Potter's absence; and B.J. and Hawkeye try to convince the Marines to grant a hardship discharge to an immigrant soldier, Private Jost Van Liter."
MASH;CBS;Comedy;Thursday, 8:00pm;United States;30 Minutes;Canceled/Ended;The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.;s09e09;20-1-1981;"Hawkeye uses a bottle of vintage wine to lure unsuspecting nurses into his den; and Potter tries to secure a different sort of anesthetic when the army threatens to ban a painhugger."
MASH;CBS;Comedy;Thursday, 8:00pm;United States;30 Minutes;Canceled/Ended;The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.;s09e10;27-1-1981;"Klinger saves Winchester's life when an explosion rocks the operating room; and B.J. is reluctant to reveal the extent of his injuries after the blast."
NOVA;PBS;Documentary;Wednesday, 9:00pm;United States;60 Minutes;Returning Series;Seen in more than 100 countries, NOVA is the most watched science based television series in the world and the most watched documentary series on PBS. It is also one of television's most acclaimed series, having won many major television awards, most of them many times over.;s08e13;7-1-1981;Is the fagara root a match for the stethoscope? This program looks at the contributions of both traditional herbal medicine and western orthodox medicine to the health of the Nigerian people.
